wavenumer,ExptAbs,fitAbs,1_Anchor,2_PrimaryAmide(NH2),4_Core_Beta,5_PPII_Coil,6_Beta_Turn,7_PrimaryAmide(C=O),8_High_Beta
1671.0,0.01013,0.010247220221396196,4.244924361242827e-18,1.6081247536776332e-15,3.191404134567551e-07,0.0013425618890572848,0.004064802062072239,0.00483953019979495,6.9300566518616086e-09
1670.0,0.009357142857142857,0.009483562874164396,1.1280153871724615e-17,4.935271940820475e-15,5.016121467295752e-07,0.0016043159210705467,0.004205285009352014,0.0036734579752664416,2.356323717323037e-09
1669.0,0.008884285714285714,0.008870852073866748,2.956239354666563e-17,1.4777444339870763e-14,7.814499494553249e-07,0.0019053277615292059,0.004290727862300005,0.002674014242104814,7.579684603391603e-10
1668.0,0.008611428571428572,0.00843443800165934,7.640885066682606e-17,4.3170240679169375e-14,1.2066495963225069e-06,0.0022489185190178933,0.004317635823748905,0.0018666767785860481,2.3066692444343813e-10
1667.0,0.00843857142857143,0.008174568878163523,1.9477232238226203e-16,1.230457169087946e-13,1.8467497891653376e-06,0.0026381650915997703,0.0042848986000759036,0.0012496583701648244,6.641061863058403e-11
1666.0,0.008165714285714285,0.008074729922526308,4.896551433695774e-16,3.421727541307043e-13,2.801443228906875e-06,0.0030757741419768533,0.004193866407187132,0.0008022879117020375,1.8088715861432298e-11
1665.0,0.008092857142857141,0.00811036928595978,1.2140397354381601e-15,9.283703106997446e-13,4.212136876090977e-06,0.0035639461793505666,0.00404825758195523,0.0004939533821871261,4.661180901354654e-12
1664.0,0.008119999999999999,0.008256064949507454,2.9686225676696454e-15,2.457502421774698e-12,6.2772584005349884e-06,0.0041042334515815635,0.003853906609023003,0.0002916476269055571,1.1363240279497544e-12
1663.0,0.008347142857142857,0.008490183121177379,7.15906936740248e-15,6.346927816180455e-12,9.272234771199557e-06,0.004697396263166643,0.003618376358567498,0.00016513825805587618,2.6207550551664684e-13
1662.0,0.008874285714285715,0.008796980145822855,1.7026981295281907e-14,1.5993004413514277e-11,1.3575183656216255e-05,0.005343263153393328,0.0033504704402449624,8.96713524611323e-05,5.718323022953658e-14
